,meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
873,92.0,Metroid Prime 2: Echoes,GC,"Nov 15, 2004",8.8,/game/gamecube/metroid-prime-2-echoes,T,['Retro Studios'],"['Action', 'First-Person', 'Sci-Fi', 'Shooter']"
874,80.0,Donkey Kong Country 2,GBA,"Nov 15, 2004",8.6,/game/game-boy-advance/donkey-kong-country-2,E,['Rare Ltd.'],"['Action', '2D', 'Platformer']"
875,80.0,Mario Power Tennis,GC,"Nov 8, 2004",8.5,/game/gamecube/mario-power-tennis,E,['Camelot Software Planning'],"['Tennis', 'Sports', 'Traditional']"
876,66.0,Classic NES Series: Dr. Mario,GBA,"Oct 25, 2004",8.2,/game/game-boy-advance/classic-nes-series-dr-mario,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'Matching']"
877,74.0,Classic NES Series: Castlevania,GBA,"Oct 25, 2004",8.7,/game/game-boy-advance/classic-nes-series-castlevania,E,['Konami'],"['Action', '2D', 'Platformer']"
878,73.0,Classic NES Series: Zelda II: The Adventure of Link,GBA,"Oct 25, 2004",7.4,/game/game-boy-advance/classic-nes-series-zelda-ii-the-adventure-of-link,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
879,58.0,Classic NES Series: Metroid,GBA,"Oct 25, 2004",8.3,/game/game-boy-advance/classic-nes-series-metroid,E,['Nintendo'],"['Sci-Fi', 'Action Adventure']"
880,80.0,Kirby & the Amazing Mirror,GBA,"Oct 18, 2004",8.8,/game/game-boy-advance/kirby-the-amazing-mirror,E,['Flagship'],"['Action', '2D', 'Platformer']"
881,87.0,Paper Mario: The Thousand-Year Door,GC,"Oct 11, 2004",9.1,/game/gamecube/paper-mario-the-thousand-year-door,E,['Intelligent Systems'],"['Role-Playing', 'Console-style RPG']"
882,62.0,Mario Pinball Land,GBA,"Oct 4, 2004",4.5,/game/game-boy-advance/mario-pinball-land,E,['Fuse Games Limited'],"['Parlor', 'Pinball', 'Miscellaneous']"
883,76.0,Donkey Konga,GC,"Sep 27, 2004",8.0,/game/gamecube/donkey-konga,E,['Namco'],"['Rhythm', 'Music', 'Miscellaneous']"
884,77.0,F-Zero GP Legend,GBA,"Sep 20, 2004",8.3,/game/game-boy-advance/f-zero-gp-legend,E,['Suzak'],"['Driving', 'Racing', 'Futuristic']"
885,81.0,Pokemon FireRed Version,GBA,"Sep 7, 2004",8.6,/game/game-boy-advance/pokemon-firered-version,E,['Game Freak'],"['Role-Playing', 'Console-style RPG']"
886,81.0,Pokemon LeafGreen Version,GBA,"Sep 7, 2004",8.5,/game/game-boy-advance/pokemon-leafgreen-version,E,['Game Freak'],"['Role-Playing', 'Console-style RPG']"
887,90.0,Pikmin 2,GC,"Aug 30, 2004",9.0,/game/gamecube/pikmin-2,E,['Nintendo'],"['Real-Time', 'Strategy', 'Fantasy']"
888,77.0,Hamtaro: Ham-Ham Games,GBA,"Jul 27, 2004",8.3,/game/game-boy-advance/hamtaro-ham-ham-games,E,['Alphadream Corporation'],"['Sports', 'General']"
889,,Pokemon Box: Ruby and Sapphire,GC,"Jul 12, 2004",5.3,/game/gamecube/pokemon-box-ruby-and-sapphire,E,['Nintendo'],"['Miscellaneous', 'General']"
890,84.0,Mario Golf: Advance Tour,GBA,"Jun 22, 2004",8.8,/game/game-boy-advance/mario-golf-advance-tour,E,['Camelot Software Planning'],"['Sports', 'Sim', 'Golf', 'Traditional']"
891,86.0,The Legend of Zelda: Four Swords Adventures,GC,"Jun 7, 2004",7.6,/game/gamecube/the-legend-of-zelda-four-swords-adventures,E,['Nintendo'],"['Fantasy', 'Action Adventure']"
892,66.0,Classic NES Series: Ice Climber,GBA,"Jun 2, 2004",7.4,/game/game-boy-advance/classic-nes-series-ice-climber,E,['Nintendo'],"['Action', '2D', 'Platformer']"
893,66.0,Classic NES Series: Excitebike,GBA,"Jun 2, 2004",,/game/game-boy-advance/classic-nes-series-excitebike,E,['Nintendo'],"['Arcade', 'Driving', 'Racing']"
894,84.0,Classic NES Series: Super Mario Bros.,GBA,"Jun 2, 2004",8.5,/game/game-boy-advance/classic-nes-series-super-mario-bros,E,['Nintendo'],"['Action', '2D', 'Platformer']"
895,84.0,Classic NES Series: The Legend of Zelda,GBA,"Jun 2, 2004",8.6,/game/game-boy-advance/classic-nes-series-the-legend-of-zelda,E,['Nintendo'],"['Role-Playing', 'Action RPG']"
896,55.0,Classic NES Series: Donkey Kong,GBA,"Jun 2, 2004",6.9,/game/game-boy-advance/classic-nes-series-donkey-kong,E,['Nintendo'],"['Action', '2D', 'Platformer']"
897,53.0,Classic NES Series: Pac-Man,GBA,"Jun 2, 2004",,/game/game-boy-advance/classic-nes-series-pac-man,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
898,81.0,Mario vs. Donkey Kong,GBA,"May 24, 2004",8.1,/game/game-boy-advance/mario-vs-donkey-kong,E,['Nintendo'],"['Action', '2D', 'Platformer']"
899,65.0,Custom Robo,GC,"May 10, 2004",8.1,/game/gamecube/custom-robo,T,['Noise Inc.'],"['3D', 'Action', 'Fighting']"
900,76.0,"WarioWare, Inc.: Mega Party Game$!",GC,"Apr 6, 2004",8.3,/game/gamecube/warioware-inc-mega-party-game!,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
901,73.0,Pokemon Colosseum,GC,"Mar 22, 2004",7.9,/game/gamecube/pokemon-colosseum,E,['Genius Sonority Inc.'],"['Role-Playing', 'Console-style RPG']"
902,80.0,Final Fantasy Crystal Chronicles,GC,"Feb 9, 2004",8.9,/game/gamecube/final-fantasy-crystal-chronicles,T,['Square Enix'],"['Role-Playing', 'Action RPG']"
903,89.0,Metroid: Zero Mission,GBA,"Feb 9, 2004",8.8,/game/game-boy-advance/metroid-zero-mission,E,['Nintendo'],"['Action', '2D', 'Platformer']"
904,78.0,Pac-Man vs.,GC,"Dec 2, 2003",8.3,/game/gamecube/pac-man-vs,E,['Nintendo'],"['Miscellaneous', 'Puzzle', 'General']"
905,73.0,1080: Avalanche,GC,"Dec 1, 2003",8.0,/game/gamecube/1080-avalanche,E,['Nintendo'],"['Snowboarding', 'Sports', 'Alternative']"
906,72.0,Sword of Mana,GBA,"Dec 1, 2003",8.4,/game/game-boy-advance/sword-of-mana,E,['Brownie Brown'],"['Role-Playing', 'Action RPG']"
907,55.0,Pokemon Channel,GC,"Dec 1, 2003",6.2,/game/gamecube/pokemon-channel,E,['Ambrella'],"['Adventure', 'First-Person', 'Fantasy']"
908,87.0,Mario Kart: Double Dash!!,GC,"Nov 17, 2003",8.6,/game/gamecube/mario-kart-double-dash!!,E,['Nintendo'],"['Kart', 'Driving', 'Racing']"
909,90.0,Mario & Luigi: Superstar Saga,GBA,"Nov 17, 2003",8.9,/game/game-boy-advance/mario-luigi-superstar-saga,E,['Alphadream Corporation'],"['Role-Playing', 'Console-style RPG']"
910,95.0,The Legend of Zelda Collector's Edition,GC,"Nov 17, 2003",9.0,/game/gamecube/the-legend-of-zelda-collectors-edition,E,['Nintendo'],"['Fantasy', 'Action Adventure']"
911,69.0,Mario Party 5,GC,"Nov 10, 2003",8.0,/game/gamecube/mario-party-5,E,['Hudson'],"['Party', 'Miscellaneous']"
912,88.0,Fire Emblem,GBA,"Nov 3, 2003",9.1,/game/game-boy-advance/fire-emblem,E,['Intelligent Systems'],"['Turn-Based', 'Strategy', 'Fantasy']"
913,78.0,Top Gear Rally,GBA,"Oct 28, 2003",7.6,/game/game-boy-advance/top-gear-rally,E,['Tantalus'],"['Rally / Offroad', 'Driving', 'Racing']"
